baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id
17.6977358068991	0.70667898309121	0.173238287939339	4.07923093386066	4.5184933965481e-05	6.66833109172079e-05	Potri.001G002400.v3.1
586.199266920746	2.377008596103	0.0798880850931831	29.7542317271769	1.5287740134688e-194	8.42278759013678e-194	Potri.001G005900.v3.1
13.3341525856748	5.65394027912312	0.29886241811306	18.9182042855058	8.07594515661631e-80	2.51607569164043e-79	Potri.001G007400.v3.1
3261.4681433588	1.4783347933032	0.0480457650850076	30.7693048635519	6.74820152811427e-208	3.93830093719613e-207	Potri.001G008400.v3.1
357.017950110903	1.25879716992656	0.0715348831317759	17.5969696855128	2.59861483238291e-69	7.59200624984389e-69	Potri.001G009800.v3.1
1.17717097404958	2.36794481129176	0.449052593804646	5.27320150013853	1.34064227741098e-07	2.11165653370302e-07	Potri.001G014100.v3.1
5.69007129203958	3.24075322019964	0.414320510902008	7.82185080131386	5.20522814510543e-15	9.33855141848122e-15	Potri.001G014300.v3.1
49.1230069710779	2.57501134859753	0.263966562049412	9.75506643191994	1.75485745743508e-22	3.46825362649819e-22	Potri.001G014401.v3.1
0.606031036636222	1.984618229526	0.48568298414382	4.08624204330435	4.38416419155003e-05	6.47252794301514e-05	Potri.001G014600.v3.1
30.6400069647294	6.21982749246443	0.243309433675415	25.5634456852254	3.8918963178839e-144	1.70634797974678e-143	Potri.001G015066.v3.1
4.2314518007597	4.79625461658917	0.456703760731117	10.5018942890049	8.46638357742788e-26	1.73908206484639e-25	Potri.001G015300.v3.1
3972.4296909272	0.339956757333424	0.0223769288852487	15.1922884090466	3.97786514667129e-52	1.0290591361896e-51	Potri.001G000700.v3.1
2684.12401286387	0.76067418509929	0.0322628643643864	23.5773915331264	6.57582587579082e-123	2.59477171374925e-122	Potri.001G001300.v3.1
99319.7137391184	0.820454156130876	0.0757811048649084	10.8266322798205	2.57450508912831e-27	5.37767504685401e-27	Potri.001G002000.v3.1
145.16142502548	1.66165860311093	0.13739059730308	12.0944128326727	1.13047610146147e-33	2.52036156184984e-33	Potri.001G003100.v3.1
3426.90740665709	0.279942272058082	0.042762680825337	6.54641539433644	5.89345114034358e-11	9.93979489926974e-11	Potri.001G004200.v3.1
372.016762942861	0.812278717843794	0.044268189120239	18.34903875642	3.36004179254333e-75	1.02018354860873e-74	Potri.001G004300.v3.1
